PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;079;102;81;28079102_81_98;2022;01;0.9;V;0.77;V;0.91;V;1.97;V;2.17;V;1.02;V;1.24;V;0.94;V;2.44;V;2.01;V;1.53;V;1.58;V;1.69;V;1.38;V;0.83;V;0.75;V;1.08;V;1.02;V;0.94;V;2.48;V;00000;N;1.64;V;1.41;V;1.47;V;1.88;V;1.97;V;1.68;V;1.61;V;1.52;V;1.13;V;1.24;V
28;079;102;81;28079102_81_98;2022;02;4.13;V;1.04;V;1;V;0.75;V;2.81;V;1.87;V;1.45;V;2.11;V;1.35;V;0.89;V;1.39;V;1.24;V;2.63;V;3.11;V;1.49;V;1.68;V;0.88;N;00000;N;00000;N;1.11;V;1.5;V;2.37;V;1.55;V;1.26;V;2.68;V;2.6;V;1.2;V;1.09;V;00000;N;00000;N;00000;N
28;079;102;82;28079102_82_98;2022;01;8;V;47;V;3;V;275;V;275;V;86;V;31;V;6;V;258;V;0;V;3;V;71;V;40;V;41;V;222;V;46;V;9;V;15;V;39;V;38;V;00000;N;43;V;47;V;58;V;64;V;44;V;58;V;40;V;5;V;14;V;6;V
28;079;102;82;28079102_82_98;2022;02;7;V;1;V;258;V;68;V;53;V;68;V;15;V;45;V;67;V;43;V;48;V;243;V;140;V;267;V;258;V;242;V;26;N;00000;N;00000;N;29;V;12;V;68;V;50;V;66;V;35;V;59;V;84;V;152;V;00000;N;00000;N;00000;N
28;079;102;83;28079102_83_98;2022;01;9.5;V;8.7;V;7.7;V;5.9;V;4.3;V;2.9;V;4;V;1.7;V;6.2;V;9;V;8.4;V;5.4;V;2.7;V;1.9;V;2.2;V;2.3;V;3.5;V;4.6;V;5.1;V;4.7;V;00000;N;2.5;V;3.2;V;3.6;V;4.7;V;3.5;V;5.2;V;5.9;V;6.8;V;7.7;V;7;V
28;079;102;83;28079102_83_98;2022;02;7.7;V;9.8;V;8.1;V;7.1;V;6.8;V;5.8;V;7.7;V;7.7;V;7.5;V;7.7;V;8.6;V;7.7;V;6.8;V;6;V;6.6;V;8;V;5.1;N;00000;N;00000;N;5.9;V;8.7;V;10;V;9.5;V;8.7;V;5.7;V;5;V;7;V;8.8;V;00000;N;00000;N;00000;N
28;079;102;86;28079102_86_98;2022;01;52;V;58;V;71;V;79;V;67;V;70;V;58;V;72;V;68;V;68;V;62;V;51;V;56;V;59;V;58;V;63;V;56;V;45;V;37;V;47;V;00000;N;55;V;65;V;62;V;60;V;63;V;47;V;30;V;24;V;23;V;29;V
28;079;102;86;28079102_86_98;2022;02;49;V;49;V;50;V;63;V;57;V;39;V;36;V;48;V;50;V;52;V;53;V;54;V;66;V;57;V;48;V;54;V;71;N;00000;N;00000;N;46;V;44;V;22;V;31;V;37;V;70;V;81;V;69;V;60;V;00000;N;00000;N;00000;N
28;079;102;87;28079102_87_98;2022;01;948;V;948;V;946;V;939;V;940;V;941;V;946;V;947;V;944;V;943;V;945;V;947;V;950;V;949;V;947;V;948;V;950;V;949;V;948;V;947;V;00000;N;947;V;946;V;947;V;949;V;948;V;948;V;949;V;950;V;948;V;947;V
28;079;102;87;28079102_87_98;2022;02;947;V;947;V;944;V;943;V;945;V;947;V;948;V;948;V;948;V;947;V;946;V;944;V;941;V;941;V;946;V;947;V;947;N;00000;N;00000;N;948;V;947;V;948;V;944;V;942;V;944;V;943;V;943;V;946;V;00000;N;00000;N;00000;N
28;079;102;88;28079102_88_98;2022;01;102;V;97;V;98;V;52;V;75;V;112;V;110;V;80;V;99;V;118;V;111;V;120;V;90;V;120;V;116;V;118;V;118;V;123;V;125;V;127;V;00000;N;127;V;111;V;60;V;68;V;125;V;135;V;143;V;145;V;138;V;141;V
28;079;102;88;28079102_88_98;2022;02;144;V;149;V;127;V;89;V;125;V;156;V;157;V;158;V;159;V;143;V;136;V;152;V;88;V;169;V;164;V;149;V;52;N;00000;N;00000;N;192;V;186;V;195;V;154;V;124;V;40;V;22;V;148;V;198;V;00000;N;00000;N;00000;N
28;079;102;89;28079102_89_98;2022;01;0;V;0;V;0;V;5.5;V;3.6;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;00000;N;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;102;89;28079102_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0.6;V;0;V;0;V;0;N;00000;N;00000;N;0;V;0;V;0;V;0;V;0;V;3;V;2.3;V;0.2;V;0;V;00000;N;00000;N;00000;N
28;079;103;81;28079103_81_98;2022;01;0.16;V;0.2;V;0.29;V;1.37;V;1.82;V;0.57;V;0.62;V;0.65;V;2.08;V;1.77;V;0.5;V;0.65;V;0.5;V;0.45;V;0.25;V;0.15;V;0.18;V;0.18;V;0.18;V;0.74;V;0.79;V;0.76;V;0.57;V;0.71;V;0.88;V;0.87;V;0.45;V;0.41;V;0.38;V;0.23;V;0.57;V
28;079;103;81;28079103_81_98;2022;02;2.29;V;0.41;V;0.56;V;0.46;V;1.62;V;0.85;V;0.76;V;1.05;V;0.45;V;0.37;V;0.35;V;0.45;V;2.1;V;2.36;N;1.21;V;1.19;V;0.45;V;0.13;N;00000;N;0.48;V;0.87;V;0.91;V;0.52;V;0.5;V;1.71;V;1.39;V;0.75;N;1.02;N;00000;N;00000;N;00000;N
28;079;103;82;28079103_82_98;2022;01;5;V;4;V;0;V;251;V;8;V;41;V;14;V;1;V;254;V;22;V;10;V;5;V;5;V;3;V;0;V;285;V;250;V;2;V;285;V;21;V;45;V;10;V;4;V;54;V;74;V;20;V;36;V;0;V;54;V;0;V;6;V
28;079;103;82;28079103_82_98;2022;02;11;V;11;V;7;V;32;V;40;V;9;V;21;V;35;V;14;V;2;V;14;V;304;V;237;V;268;N;248;V;256;V;271;V;5;N;00000;N;38;V;15;V;15;V;5;V;31;V;28;V;56;V;6;N;55;N;00000;N;00000;N;00000;N
28;079;103;83;28079103_83_98;2022;01;6.4;V;5.8;V;5.9;V;4.6;V;4.3;V;2.6;V;3;V;1;V;6.9;V;10.2;V;7.8;V;4.9;V;2.4;V;1.3;V;0.9;V;1.1;V;1.9;V;2.4;V;2.4;V;3.8;V;2.7;V;2.9;V;3.2;V;3.9;V;5.8;V;4;V;4.2;V;4;V;4.3;V;4.6;V;5.4;V
28;079;103;83;28079103_83_98;2022;02;8.7;V;8.3;V;6.9;V;7.3;V;8;V;6.4;V;6.9;V;8.3;V;6.2;V;6.2;V;7.6;V;7.6;V;7.1;V;7.2;N;5.5;V;7.4;V;7.9;V;3.2;N;00000;N;5.9;V;8.7;V;10.6;V;8.7;V;7.9;V;6.8;V;6.5;V;8.7;N;12.2;N;00000;N;00000;N;00000;N
28;079;103;86;28079103_86_98;2022;01;69;V;75;V;80;V;83;V;71;V;78;V;68;V;78;V;69;V;65;V;65;V;60;V;64;V;67;V;68;V;73;V;68;V;62;V;55;V;56;V;58;V;56;V;68;V;65;V;59;V;66;V;58;V;46;V;41;V;40;V;42;V
28;079;103;86;28079103_86_98;2022;02;48;V;58;V;60;V;65;V;56;V;41;V;49;V;49;V;59;V;63;V;62;V;58;V;67;V;48;N;54;V;58;V;67;V;83;N;00000;N;50;V;47;V;24;V;37;V;45;V;68;V;77;V;63;N;49;N;00000;N;00000;N;00000;N
28;079;103;87;28079103_87_98;2022;01;957;V;957;V;955;V;947;V;949;V;950;V;955;V;956;V;952;V;951;V;953;V;956;V;958;V;958;V;956;V;957;V;958;V;957;V;957;V;955;V;954;V;956;V;955;V;955;V;957;V;957;V;956;V;958;V;959;V;957;V;955;V
28;079;103;87;28079103_87_98;2022;02;956;V;956;V;952;V;952;V;953;V;956;V;956;V;957;V;957;V;956;V;954;V;953;V;950;V;951;N;955;V;956;V;955;V;951;N;00000;N;956;V;956;V;956;V;953;V;951;V;952;V;951;V;952;N;954;N;00000;N;00000;N;00000;N
28;079;103;88;28079103_88_98;2022;01;112;V;105;V;100;V;51;V;101;V;118;V;116;V;83;V;105;V;124;V;114;V;126;V;104;V;126;V;123;V;123;V;125;V;127;V;131;V;131;V;132;V;126;V;119;V;60;V;42;V;122;V;138;V;148;V;150;V;145;V;145;V
28;079;103;88;28079103_88_98;2022;02;150;V;153;V;141;V;90;V;129;V;159;V;159;V;162;V;161;V;147;V;133;V;150;V;114;V;279;N;171;V;163;V;179;V;66;N;00000;N;194;V;187;V;196;V;156;V;119;V;40;V;23;V;210;N;277;N;00000;N;00000;N;00000;N
28;079;103;89;28079103_89_98;2022;01;0;V;0;V;0;V;6.4;V;4.7;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;103;89;28079103_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;N;0;V;0;V;0;V;0;N;00000;N;0;V;0;V;0;V;0;V;0;V;2.7;V;1.8;V;0;N;0;N;00000;N;00000;N;00000;N
28;079;104;81;28079104_81_98;2022;01;0.16;V;0.22;V;0.33;V;0.82;V;1.04;V;0.41;V;0.49;V;0.42;V;1.17;V;1.06;V;0.46;V;0.5;V;0.27;V;0.37;V;0.26;V;0.23;V;0.2;V;0.22;V;0.21;V;0.55;V;0.57;V;0.46;V;0.35;V;0.43;V;0.52;V;0.54;V;0.32;V;0.33;V;0.31;V;0.25;V;0.51;V
28;079;104;81;28079104_81_98;2022;02;1.82;V;0.33;V;0.41;V;0.31;V;1.06;V;0.59;V;0.54;V;0.62;V;0.51;V;0.36;V;0.39;V;0.14;N;1.26;V;1.65;V;0.8;V;0.95;V;0.44;V;0.54;V;1.49;V;0.38;V;0.7;V;0.71;V;0.4;V;0.41;V;0.96;V;0.9;V;0.53;V;0.55;V;00000;N;00000;N;00000;N
28;079;104;82;28079104_82_98;2022;01;30;V;38;V;23;V;59;V;32;V;48;V;49;V;21;V;49;V;23;V;16;V;13;V;2;V;44;V;35;V;51;V;10;V;42;V;25;V;10;V;19;V;0;V;21;V;10;V;59;V;4;V;3;V;23;V;31;V;3;V;9;V
28;079;104;82;28079104_82_98;2022;02;5;V;2;V;40;V;6;V;7;V;0;V;9;V;0;V;14;V;53;V;32;V;47;N;62;V;0;V;210;V;1;V;28;V;158;V;8;V;22;V;3;V;25;V;34;V;3;V;3;V;43;V;26;V;140;V;00000;N;00000;N;00000;N
28;079;106;81;28079106_81_98;2022;01;0.15;V;0.18;V;0.28;V;1.08;V;1.3;V;0.33;V;0.48;V;0.41;V;1.79;V;1.33;V;0.42;V;0.6;V;0.35;V;0.46;V;0.24;V;0.23;V;0.2;V;0.21;V;0.23;V;0.12;N;0.54;V;00000;N;0.32;V;0.46;V;0.47;V;0.46;V;0.38;V;0.33;V;00000;N;0.28;V;0.66;V
28;079;106;81;28079106_81_98;2022;02;1.59;V;00000;N;0.13;N;0.69;N;00000;N;00000;N;2.11;N;0.89;N;1.18;N;0.36;N;00000;N;00000;N;00000;N;2.12;N;1.32;N;1.34;V;0.22;N;00000;N;00000;N;00000;N;4.45;N;1.37;N;0.3;N;0.69;N;1.16;V;00000;N;00000;N;0.93;N;00000;N;00000;N;00000;N
28;079;106;82;28079106_82_98;2022;01;305;V;6;V;247;V;0;V;0;V;297;V;2;V;0;V;304;V;5;V;2;V;337;V;0;V;0;V;3;V;271;V;0;V;2;V;0;V;1;N;0;V;00000;N;1;V;0;V;2;V;302;V;6;V;3;V;00000;N;1;V;0;V
28;079;106;82;28079106_82_98;2022;02;0;V;00000;N;284;N;150;N;00000;N;00000;N;21;N;8;N;176;N;33;N;00000;N;00000;N;00000;N;4;N;0;N;0;V;1;N;00000;N;00000;N;00000;N;225;N;1;N;0;N;4;N;27;V;00000;N;00000;N;3;N;00000;N;00000;N;00000;N
28;079;106;83;28079106_83_98;2022;01;3.8;V;3.5;V;4;V;3.5;V;4.5;V;0.7;V;1.7;V;-0.7;V;7;V;10.4;V;5.3;V;2.1;V;-0.2;V;-0.9;V;-0.9;V;-0.9;V;-0.4;V;-0.2;V;-0.3;V;-3.3;N;0.6;V;00000;N;0.6;V;3;V;4.6;V;1.1;V;1.8;V;1.4;V;00000;N;1.7;V;2.5;V
28;079;106;83;28079106_83_98;2022;02;7.5;V;00000;N;-1.9;N;12.1;N;00000;N;00000;N;14.4;N;10;N;10.9;N;1.4;N;00000;N;00000;N;00000;N;5.6;N;7.3;N;6.8;V;-0.3;N;00000;N;00000;N;00000;N;7;N;13.5;N;1.9;N;11.6;N;7.2;V;00000;N;00000;N;10.6;N;00000;N;00000;N;00000;N
28;079;106;86;28079106_86_98;2022;01;80;V;82;V;86;V;89;V;73;V;86;V;77;V;85;V;72;V;67;V;77;V;70;V;78;V;75;V;77;V;79;V;77;V;72;V;68;V;82;N;68;V;00000;N;81;V;73;V;71;V;77;V;70;V;60;V;00000;N;58;V;54;V
28;079;106;86;28079106_86_98;2022;02;55;V;00000;N;86;N;52;N;00000;N;00000;N;32;N;47;N;47;N;77;N;00000;N;00000;N;00000;N;57;N;51;N;64;V;93;N;00000;N;00000;N;00000;N;62;N;28;N;65;N;41;N;68;V;00000;N;00000;N;60;N;00000;N;00000;N;00000;N
28;079;106;87;28079106_87_98;2022;01;958;V;959;V;957;V;949;V;950;V;952;V;957;V;957;V;953;V;953;V;955;V;957;V;960;V;960;V;957;V;959;V;960;V;959;V;958;V;958;N;956;V;00000;N;956;V;957;V;959;V;958;V;958;N;959;V;00000;N;958;V;957;V
28;079;106;87;28079106_87_98;2022;02;957;V;00000;N;955;N;952;N;00000;N;00000;N;956;N;959;N;957;N;957;N;00000;N;00000;N;00000;N;949;N;948;N;957;V;957;N;00000;N;00000;N;00000;N;861;N;954;N;956;N;951;N;954;V;00000;N;00000;N;956;N;00000;N;00000;N;00000;N
28;079;106;88;28079106_88_98;2022;01;93;V;83;V;89;V;38;V;80;V;104;V;104;V;74;V;96;V;125;V;101;V;109;V;87;V;115;V;107;V;111;V;111;V;113;V;116;V;86;N;117;V;00000;N;67;V;57;V;57;V;117;V;124;V;131;V;00000;N;128;V;131;V
28;079;106;88;28079106_88_98;2022;02;133;V;00000;N;63;N;189;N;00000;N;00000;N;399;N;361;N;208;N;198;N;00000;N;00000;N;00000;N;134;N;239;N;147;V;0;N;00000;N;00000;N;00000;N;372;N;288;N;143;N;197;N;31;V;00000;N;00000;N;281;N;00000;N;00000;N;00000;N
28;079;106;89;28079106_89_98;2022;01;0;V;0;V;0;V;5;V;3.1;V;0.1;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;N;0;V;00000;N;0;V;0;V;0;V;0;V;0;V;0;V;00000;N;0;V;0;V
28;079;106;89;28079106_89_98;2022;02;0;V;00000;N;0;N;0;N;00000;N;00000;N;0;N;0;N;0;N;0;N;00000;N;00000;N;00000;N;0.7;N;0.1;N;0;V;0;N;00000;N;00000;N;00000;N;0;N;0;N;0;N;0;N;3.1;V;00000;N;00000;N;1.7;N;00000;N;00000;N;00000;N
28;079;107;81;28079107_81_98;2022;01;0.55;V;0.41;V;0.44;V;1.1;V;1.18;V;0.43;V;0.6;V;0.5;V;1.5;V;1.13;V;0.6;V;0.57;V;0.62;V;0.62;V;0.54;V;0.41;V;0.41;V;0.49;V;0.56;V;0.62;N;0.67;V;0.72;V;0.64;V;0.51;V;0.48;V;0.68;V;0.82;V;0.69;V;0.7;V;0.61;V;0.71;V
28;079;107;81;28079107_81_98;2022;02;2.12;V;0.39;V;0.61;V;0.4;V;1.33;V;0.85;V;0.75;V;0.79;V;0.65;V;0.57;V;0.35;V;0.67;V;1.92;V;2.07;V;1.03;V;0.84;V;0.4;V;0.77;V;1.63;V;0.5;V;0.79;V;0.77;V;0.69;V;0.61;V;1.27;V;0.8;V;0.46;V;0.81;V;00000;N;00000;N;00000;N
28;079;107;82;28079107_82_98;2022;01;11;V;16;V;12;V;183;V;248;V;15;V;6;V;14;V;10;V;21;V;0;V;10;V;21;V;21;V;10;V;9;V;18;V;8;V;13;V;33;N;13;V;10;V;15;V;0;V;8;V;14;V;3;V;16;V;23;V;3;V;6;V
28;079;107;82;28079107_82_98;2022;02;3;V;4;V;6;V;159;V;15;V;18;V;22;V;13;V;25;V;18;V;19;V;39;V;201;V;228;V;209;V;0;V;15;V;6;V;23;V;16;V;4;V;11;V;10;V;7;V;12;V;4;V;18;V;18;V;00000;N;00000;N;00000;N
28;079;107;83;28079107_83_98;2022;01;8.9;V;7.8;V;8;V;5.6;V;3.7;V;2.6;V;3.6;V;2;V;6.6;V;9.9;V;9.7;V;6;V;3.4;V;2.6;V;2;V;2.2;V;3.5;V;4.3;V;5.1;V;3.5;N;3.2;V;3;V;3.2;V;4.3;V;5.7;V;4;V;5.7;V;6.4;V;6.8;V;7.7;V;7.1;V
28;079;107;83;28079107_83_98;2022;02;8.6;V;10.2;V;8.6;V;8.1;V;7.6;V;6.6;V;8.2;V;8.5;V;7.9;V;7.8;V;9.2;V;8.3;V;7.7;V;6.1;V;5.8;V;7.7;V;9.4;V;10.3;V;7.9;V;6.7;V;9.7;V;10.9;V;10.1;V;9.2;V;6.6;V;6;V;8.1;V;9.1;V;00000;N;00000;N;00000;N
28;079;107;86;28079107_86_98;2022;01;55;V;63;V;75;V;86;V;75;V;76;V;66;V;76;V;73;V;70;V;64;V;54;V;58;V;61;V;61;V;66;V;59;V;49;V;40;V;50;N;58;V;57;V;69;V;64;V;61;V;63;V;50;V;33;V;27;V;26;V;31;V
28;079;107;86;28079107_86_98;2022;02;51;V;52;V;51;V;63;V;58;V;42;V;39;V;47;V;53;V;55;V;56;V;56;V;67;V;61;V;55;V;59;V;64;V;61;V;54;V;49;V;46;V;23;V;32;V;40;V;70;V;81;V;70;V;63;V;00000;N;00000;N;00000;N
28;079;107;87;28079107_87_98;2022;01;947;V;948;V;945;V;938;V;939;V;941;V;946;V;946;V;943;V;942;V;944;V;946;V;949;V;949;V;946;V;948;V;949;V;948;V;947;V;947;N;945;V;946;V;945;V;946;V;948;V;947;V;947;V;948;V;950;V;947;V;946;V
28;079;107;87;28079107_87_98;2022;02;947;V;946;V;943;V;942;V;944;V;947;V;947;V;948;V;948;V;946;V;945;V;944;V;941;V;940;V;945;V;946;V;945;V;941;V;942;V;947;V;947;V;947;V;944;V;942;V;943;V;942;V;943;V;945;V;00000;N;00000;N;00000;N
28;079;107;88;28079107_88_98;2022;01;102;V;86;V;97;V;54;V;82;V;115;V;114;V;75;V;99;V;132;V;114;V;122;V;102;V;122;V;119;V;120;V;121;V;121;V;128;V;106;N;131;V;129;V;111;V;57;V;58;V;129;V;137;V;145;V;147;V;143;V;144;V
28;079;107;88;28079107_88_98;2022;02;146;V;151;V;129;V;97;V;142;V;163;V;157;V;158;V;160;V;146;V;139;V;149;V;112;V;176;V;171;V;158;V;176;V;173;V;85;V;185;V;188;V;195;V;159;V;128;V;41;V;23;V;147;V;200;V;00000;N;00000;N;00000;N
28;079;107;89;28079107_89_98;2022;01;0;V;0;V;0;V;3.5;V;3.8;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;N;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;107;89;28079107_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0.7;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;2.1;V;2.2;V;0.1;V;0;V;00000;N;00000;N;00000;N
28;079;108;81;28079108_81_98;2022;01;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;0.73;V;0.55;V;0.44;V;0.39;V;0.35;V;0.4;V;0.46;N;0.72;V;0.81;V;0.66;V;0.67;V;0.79;V;0.89;V;1.02;V;0.77;V;0.66;V;0.49;V;0.74;V
28;079;108;81;28079108_81_98;2022;02;1.72;V;0.51;V;0.51;V;0.49;V;1.4;V;0.7;V;0.75;V;0.9;V;0.55;V;0.46;V;0.45;V;0.53;V;1.22;V;2.03;V;0.35;N;00000;N;0.98;N;0.5;N;1.82;V;0.43;N;0.84;V;0.95;V;0.71;V;0.67;V;1.35;V;1.03;V;0.66;V;0.71;V;00000;N;00000;N;00000;N
28;079;108;82;28079108_82_98;2022;01;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;91;V;93;V;105;V;221;V;10;V;237;V;66;N;51;V;5;V;17;V;7;V;74;V;71;V;67;V;44;V;67;V;4;V;12;V
28;079;108;82;28079108_82_98;2022;02;66;V;2;V;72;V;223;V;30;V;40;V;3;V;60;V;59;V;204;V;256;V;207;V;167;V;257;V;251;N;00000;N;96;N;252;N;64;V;10;N;26;V;53;V;71;V;77;V;52;V;62;V;17;V;3;V;00000;N;00000;N;00000;N
28;079;108;83;28079108_83_98;2022;01;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;4;V;3.6;V;3.8;V;3.2;V;4;V;4.3;V;-0.3;N;3.6;V;4.3;V;4.6;V;5.3;V;7.3;V;6.2;V;7.7;V;7.8;V;7.7;V;7.4;V;6.5;V
28;079;108;83;28079108_83_98;2022;02;9.3;V;9.5;V;7.9;V;8;V;8.5;V;7.5;V;7.3;V;9.4;V;8.5;V;6.9;V;8.6;V;8.8;V;6.7;V;5.8;V;2.3;N;00000;N;13.2;N;7.6;N;7.9;V;1.2;N;9.4;V;11.9;V;10.2;V;9.8;V;7.5;V;7;V;9.3;V;10.1;V;00000;N;00000;N;00000;N
28;079;108;86;28079108_86_98;2022;01;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;61;V;60;V;65;V;64;V;55;V;49;V;67;N;58;V;55;V;67;V;64;V;60;V;61;V;49;V;34;V;34;V;36;V;38;V
28;079;108;86;28079108_86_98;2022;02;49;V;55;V;57;V;64;V;56;V;43;V;48;V;48;V;53;V;59;V;60;V;55;V;67;V;62;V;70;N;00000;N;53;N;69;N;56;V;66;N;47;V;23;V;35;V;42;V;68;V;78;V;68;V;63;V;00000;N;00000;N;00000;N
28;079;108;87;28079108_87_98;2022;01;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;744;N;949;V;951;V;952;V;951;V;950;V;950;N;947;V;949;V;948;V;949;V;951;V;950;V;950;V;951;V;953;V;950;V;949;V
28;079;108;87;28079108_87_98;2022;02;949;V;949;V;946;V;945;V;947;V;949;V;950;V;951;V;951;V;949;V;948;V;946;V;944;V;943;V;948;N;00000;N;947;N;944;N;944;V;950;N;950;V;950;V;947;V;945;V;946;V;945;V;946;V;948;V;00000;N;00000;N;00000;N
28;079;108;88;28079108_88_98;2022;01;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;117;V;117;V;118;V;115;V;117;V;124;V;65;N;126;V;124;V;54;V;57;V;55;V;126;V;133;V;141;V;143;V;138;V;142;V
28;079;108;88;28079108_88_98;2022;02;143;V;147;V;124;V;99;V;134;V;151;V;152;V;154;V;155;V;140;V;136;V;138;V;92;V;167;V;53;N;00000;N;284;N;215;N;114;V;25;N;183;V;190;V;153;V;133;V;43;V;23;V;88;V;196;V;00000;N;00000;N;00000;N
28;079;108;89;28079108_89_98;2022;01;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;0;V;0;V;0;V;0;V;0;V;0;V;0;N;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;108;89;28079108_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0.9;V;0;N;00000;N;0;N;0;N;0;V;0;N;0;V;0;V;0;V;0;V;2.2;V;2.8;V;0.1;V;0;V;00000;N;00000;N;00000;N
28;079;109;83;28079109_83_98;2022;01;14.5;V;13.2;V;12.9;V;9.2;V;8.5;V;8.1;V;9.3;V;6.2;V;10.6;V;13.9;N;00000;N;12.6;N;8.5;V;7.9;V;7.8;V;8.2;V;9.5;V;10.8;V;11.1;V;10.9;V;9.1;V;8.1;V;7.9;V;8.3;V;9.5;V;9.3;V;10.8;V;11.9;V;12.4;V;13.2;V;12.9;V
28;079;109;83;28079109_83_98;2022;02;13;V;15.8;V;13.9;V;12.4;V;12.1;V;11.6;V;13.7;V;13.3;V;13.5;V;13.3;V;14.6;V;10.7;N;10.9;V;10.1;V;10.6;V;12.2;V;14.7;V;15.6;V;11.6;V;12;V;14.7;V;15.9;V;15;V;14;V;10.4;V;9.5;V;11.4;V;14.1;V;00000;N;00000;N;00000;N
28;079;109;86;28079109_86_98;2022;01;38;V;44;V;59;V;79;V;65;V;59;V;46;V;60;V;60;V;63;N;00000;N;20;N;38;V;40;V;39;V;44;V;39;V;28;V;22;V;32;V;35;V;38;V;50;V;48;V;45;V;44;V;32;V;16;V;12;V;11;V;15;V
28;079;109;86;28079109_86_98;2022;02;34;V;34;V;35;V;47;V;41;V;24;V;22;V;31;V;34;V;37;V;36;V;49;N;56;V;51;V;38;V;43;V;45;V;42;V;40;V;31;V;29;V;9;V;18;V;23;V;57;V;73;V;61;V;47;V;00000;N;00000;N;00000;N
28;079;110;83;28079110_83_98;2022;01;11;V;10;V;9.8;V;7.8;V;7.3;V;5.4;V;6.2;V;4.3;V;10;V;12.9;V;10.7;V;7.9;V;6.4;V;4.8;V;5.1;V;5;V;5.7;V;6.5;V;7;V;7.4;V;6.1;V;6.2;V;6.4;V;7.4;V;8;N;9.6;N;8.5;V;4.3;N;6.3;N;00000;N;00000;N
28;079;110;83;28079110_83_98;2022;02;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;14.7;N;10.4;V;10.1;V;11.6;V;10.8;V;10;V;8.6;V;8.6;V;10.2;V;11.6;V;12.4;V;10.5;V;9;V;12.3;V;13.8;V;12.7;V;11.4;V;9.6;V;9.1;V;10.4;V;11.8;V;00000;N;00000;N;00000;N
28;079;110;86;28079110_86_98;2022;01;60;V;65;V;74;V;81;V;67;V;75;V;65;V;74;V;69;V;66;V;65;V;53;V;58;V;60;V;61;V;65;V;62;V;53;V;46;V;53;V;54;V;54;V;66;V;61;V;57;N;54;N;49;V;48;N;37;N;00000;N;00000;N
28;079;110;86;28079110_86_98;2022;02;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;40;N;52;V;57;V;56;V;54;V;64;V;60;V;53;V;59;V;62;V;61;V;51;V;49;V;43;V;22;V;33;V;42;V;66;V;77;V;68;V;62;V;00000;N;00000;N;00000;N
