PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;079;24;86;28079024_86_98;2022;01;73;V;77;V;83;V;90;V;76;V;82;V;74;V;84;V;72;V;68;V;73;V;64;V;69;V;73;V;72;V;78;V;74;V;66;V;60;V;66;V;69;V;65;V;80;V;74;V;68;V;75;V;66;V;53;V;49;V;50;V;51;V
28;079;24;86;28079024_86_98;2022;02;56;V;66;V;71;V;75;V;66;V;54;V;61;V;58;V;69;V;72;V;70;V;70;V;75;V;70;V;64;V;67;V;76;V;75;V;61;V;62;V;58;V;33;V;48;V;56;V;76;V;83;V;74;V;73;V;00000;N;00000;N;00000;N
28;079;24;87;28079024_87_98;2022;01;960;V;960;V;957;V;947;V;949;V;951;V;958;V;959;V;954;V;953;V;956;V;959;V;963;V;962;V;960;V;961;V;963;V;961;V;960;V;909;N;957;N;960;V;958;V;958;V;962;V;962;V;961;V;963;V;965;V;961;V;959;V
28;079;24;87;28079024_87_98;2022;02;960;V;960;V;955;V;954;V;956;V;959;V;961;V;961;V;962;V;960;V;957;V;955;V;951;V;951;V;958;V;959;V;958;V;951;V;953;V;960;V;960;V;960;V;955;V;952;V;954;V;952;V;953;V;957;V;00000;N;00000;N;00000;N
28;079;24;88;28079024_88_98;2022;01;97;V;89;V;91;V;30;V;80;V;111;V;105;V;77;V;98;V;123;V;104;V;112;V;92;V;99;V;110;V;116;V;110;V;119;V;102;V;92;V;120;V;95;V;73;V;56;V;53;V;113;V;127;V;135;V;137;V;132;V;134;V
28;079;24;88;28079024_88_98;2022;02;137;V;141;V;122;V;89;V;137;V;144;V;147;V;149;V;150;V;136;V;138;V;127;V;111;V;151;V;161;V;152;V;167;V;163;V;96;V;175;V;177;V;184;V;147;V;122;V;29;V;17;V;134;V;191;V;00000;N;00000;N;00000;N
28;079;24;89;28079024_89_98;2022;01;0;V;0;V;0;V;5.6;V;3.7;V;0.1;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;24;89;28079024_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0.9;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;3.5;V;1.8;V;0.1;V;0;V;00000;N;00000;N;00000;N
28;079;35;83;28079035_83_98;2022;01;11.8;V;10.7;V;10.6;V;8.4;V;6.7;V;5.8;V;6.7;V;4.8;V;10.1;V;13.1;V;11.2;V;9.3;V;7.1;V;6.2;V;5.8;V;5.7;V;6.5;V;7.5;V;7.8;V;8.2;V;6.6;V;6.6;V;7;V;7.7;V;8.8;V;8.1;V;9.8;V;10.4;V;10.7;V;10.9;V;10;V
28;079;35;83;28079035_83_98;2022;02;11.8;V;12.2;V;11.2;V;10.8;V;11.3;V;9.9;V;11;V;11.9;V;11.4;V;10.7;V;-2.7;N;-55;N;-55;N;-49.7;N;8.7;V;10.6;V;12.1;V;13.1;V;10.8;V;9.7;V;12.4;V;14.5;V;13.2;V;12.7;V;9.6;V;9.1;V;10.8;V;12.4;V;00000;N;00000;N;00000;N
